simulated_occupancy_car_park_0,simulated_occupancy_car_park_1,simulated_occupancy_car_park_2,simulated_occupancy_car_park_3,simulated_occupancy_car_park_4,simulated_occupancy_car_park_5,simulated_occupancy_car_park_6,simulated_occupancy_car_park_7,simulated_occupancy_car_park_8,simulated_occupancy_car_park_9,simulated_occupancy_car_park_10,simulated_occupancy_car_park_11,simulated_occupancy_car_park_12,simulated_occupancy_car_park_13,simulated_occupancy_car_park_14,simulated_occupancy_car_park_15,simulated_occupancy_car_park_16,simulated_occupancy_car_park_17,simulated_occupancy_car_park_18,simulated_occupancy_car_park_19,number_of_viewed_car_parks,index,true_occupancy_car_park_0,true_occupancy_car_park_1,true_occupancy_car_park_10,true_occupancy_car_park_11,true_occupancy_car_park_12,true_occupancy_car_park_13,true_occupancy_car_park_14,true_occupancy_car_park_15,true_occupancy_car_park_16,true_occupancy_car_park_17,true_occupancy_car_park_18,true_occupancy_car_park_19,true_occupancy_car_park_2,true_occupancy_car_park_3,true_occupancy_car_park_4,true_occupancy_car_park_5,true_occupancy_car_park_6,true_occupancy_car_park_7,true_occupancy_car_park_8,true_occupancy_car_park_9,nb_of_wrongly_parked
10,673,302,7,29,2,153,0,0,10,0,67,0,1130,0,1,0,0,171,43,9,0,98,148,117,133,169,2,6,321,154,139,45,76,2,105,176,223,0,255,274,155,4464
77,162,115,81,111,108,82,219,199,164,76,129,213,151,138,104,105,80,161,123,1,0,98,148,117,133,169,2,6,321,154,139,45,76,2,105,176,223,0,255,274,155,1412
24,663,299,18,57,3,161,1,0,13,0,112,0,935,2,9,0,0,221,80,7,0,98,148,117,133,169,2,6,321,154,139,45,76,2,105,176,223,0,255,274,155,4172
9,672,308,6,19,1,132,0,0,3,0,77,0,1142,0,1,0,0,173,55,9,0,98,148,117,133,169,2,6,321,154,139,45,76,2,105,176,223,0,255,274,155,4460
44,518,315,32,91,32,156,5,0,49,0,184,1,720,19,16,0,8,287,121,5,0,98,148,117,133,169,2,6,321,154,139,45,76,2,105,176,223,0,255,274,155,3816
